sample_id,q_idx,answer,qwen_answer,z3_answer,z3_definite,z3_conf,z3_grounded,qwen_sc_conf,question
20,1,Yes,Yes,Yes,1,1.0,1.0,1.0,"According to the premises, is the following statement true? Every student solves the problems."
21,0,B,B,Unknown,0,1.0,1.0,1.0,"Based on the premises, which statement is correct?
A. Every student enrolls in the course.
B. It cannot be determined whether every student enrolls in the course.
C. No student enrolls in the course.
D. Every student who submits all assignments must enrolls."
21,1,Yes,Yes,Unknown,0,1.0,1.0,0.6,"According to the premises, is the following statement true? If a student submits all assignments, then the student enrolls in the course."
22,0,A,A,Unknown,0,1.0,1.0,0.6,"Based on the premises, which statement is correct?
A. No student passes the final exam.
B. Every student passes the final exam.
C. At least one student passes the final exam.
D. It cannot be determined whether any student passes the final exam."
22,1,Yes,Yes,Unknown,0,1.0,1.0,0.8,"According to the premises, is the following statement true? No student passes the final exam."
23,0,Unknown,Unknown,Unknown,0,0.0,0.0,1.0,Do all students lab work?
23,1,Unknown,Unknown,Unknown,0,1.0,1.0,1.0,Do all students lab component?
24,0,B,B,Unknown,0,0.0,0.0,0.8,"Based on the premises, which statement is correct?
A. Every volunteer signs up for the event.
B. It cannot be determined whether every volunteer signs up for the event.
C. No volunteer signs up for the event.
D. Every volunteer who assists with activities must signs."
24,1,No,No,Unknown,0,1.0,1.0,0.8,"According to the premises, is the following statement true? If a volunteer assists with activities, then the volunteer signs up for the event."
25,0,C,C,C,1,1.0,0.6,0.6,"Based on the premises, which statement can be inferred?
A. Every employee completes the onboarding program.
B. At least one employee passes the probation period.
C. No employee completes the onboarding program.
D. Some employees receives full benefits."
25,1,No,No,No,1,1.0,1.0,1.0,"According to the premises, is the following statement true? At least one employee passes the probation period."
26,0,Yes,Yes,Yes,1,1.0,1.0,1.0,Do all trainees submits a portfolio?
26,1,Yes,Unknown,Yes,1,1.0,1.0,1.0,Do all trainees professional body?
27,0,No,No,No,1,1.0,1.0,1.0,Does at least one employee attends compliance training?
27,1,Yes,Yes,Yes,1,1.0,1.0,1.0,Do all employees handles client accounts?
28,0,Unknown,Unknown,Unknown,0,0.0,0.0,0.8,Do all students studies regularly?
28,1,Unknown,Unknown,Unknown,0,1.0,1.0,0.4,Do all students problems?
29,0,A,A,A,1,1.0,1.0,1.0,"Based on the premises, which conclusion follows?
A. At least one student submits all assignments.
B. Every student submits all assignments.
C. No student submits all assignments.
D. At least one student enrolls in the course, but nothing about submits all assignments."
29,1,Yes,Yes,Yes,1,1.0,1.0,1.0,"According to the premises, is the following statement true? Every student receives a scholarship."
30,0,No,No,No,1,1.0,1.0,0.6,Does at least one analyst requirements?
30,1,Yes,Unknown,Yes,1,1.0,1.0,0.6,Do all analysts report?
31,0,A,A,A,1,1.0,1.0,1.0,"Based on the premises, which conclusion follows?
A. At least one trainee submits a portfolio.
B. Every trainee submits a portfolio.
C. No trainee submits a portfolio.
D. At least one trainee attends the seminar, but nothing about submits a portfolio."
31,1,Yes,Yes,Unknown,0,0.0,0.0,1.0,"According to the premises, is the following statement true? Every trainee joins the professional body."
32,0,Yes,Yes,Yes,1,1.0,1.0,1.0,Do all trainees submits a portfolio?
32,1,No,No,No,1,1.0,1.0,0.8,Does at least one trainee earns a certificate?
33,0,No,No,No,1,1.0,1.0,0.6,Does at least one student course?
33,1,Yes,Yes,Yes,1,1.0,1.0,0.8,Do all students receives a scholarship?
34,0,D,D,Unknown,0,0.0,0.0,0.6,"Based on the premises, which statement is correct?
A. No intern completes the assigned task.
B. Every intern completes the assigned task.
C. At least one intern completes the assigned task.
D. It cannot be determined whether any intern completes the assigned task."
34,1,Yes,Yes,Unknown,0,1.0,1.0,0.8,"According to the premises, is the following statement true? No intern completes the assigned task."
35,0,A,A,A,1,1.0,1.0,1.0,"Based on the premises, which statement can be inferred?
A. Every student qualifies for the degree.
B. No student qualifies for the degree.
C. Only some students qualifies for the degree.
D. The premises do not support any conclusion about qualifiesing."
35,1,Yes,Yes,Yes,1,1.0,1.0,1.0,"According to the premises, is the following statement true? Every student earns course credit."
36,0,Yes,Yes,Yes,1,1.0,1.0,1.0,Do all researchers conducts experiments?
36,1,No,No,No,1,0.6,1.0,0.8,Does at least one researcher data?
37,0,No,No,No,1,1.0,1.0,0.6,Does at least one researcher writes a research proposal?
37,1,Yes,Yes,Yes,1,1.0,1.0,1.0,Do all researchers presents at a conference?
38,0,D,D,Unknown,0,1.0,1.0,0.6,"Based on the premises, which statement is correct?
A. No student understands the concepts.
B. Every student understands the concepts.
C. At least one student understands the concepts.
D. It cannot be determined whether any student understands the concepts."
38,1,No,No,Unknown,0,1.0,1.0,0.4,"According to the premises, is the following statement true? No student understands the concepts."
39,0,B,B,B,1,1.0,1.0,0.4,"Based on the premises, which statement can be inferred?
A. At least one participant registers for the program.
B. No participant registers for the program.
C. Every participant finishes all modules.
D. At least one participant finishes all modules."
39,1,No,No,Unknown,0,0.0,0.0,0.8,"According to the premises, is the following statement true? Every participant passes the certification exam."
40,0,Yes,Yes,Yes,1,1.0,1.0,0.8,Do all developers code review?
40,1,No,Unknown,No,1,1.0,1.0,0.6,Does at least one developer branch?
41,0,Yes,Yes,Yes,1,0.8,1.0,1.0,Do all employees receives security clearance?
41,1,Unknown,Unknown,Unknown,0,0.0,0.0,0.6,Do all employees handles client accounts?
42,0,No,No,No,1,1.0,1.0,0.8,Does at least one student exam?
42,1,Yes,Yes,Yes,1,1.0,1.0,0.8,Do all students threshold?
43,0,A,A,A,1,1.0,1.0,1.0,"Based on the premises, which conclusion follows?
A. At least one student reviews mistakes.
B. Every student reviews mistakes.
C. No student reviews mistakes.
D. At least one student registers for the exam, but nothing about reviews mistakes."
43,1,Yes,Yes,Yes,1,1.0,1.0,0.8,"According to the premises, is the following statement true? Every student scores above the threshold."
44,0,B,B,Unknown,0,0.0,0.0,1.0,"Based on the premises, which statement is correct?
A. Every volunteer signs up for the event.
B. It cannot be determined whether every volunteer signs up for the event.
C. No volunteer signs up for the event.
D. Every volunteer who assists with activities must signs."
44,1,Yes,Yes,Unknown,0,1.0,1.0,0.6,"According to the premises, is the following statement true? If a volunteer assists with activities, then the volunteer signs up for the event."
45,0,Yes,Yes,Yes,1,1.0,1.0,0.8,Do all students lab component?
45,1,No,No,No,1,1.0,1.0,0.8,Does at least one student graduation requirement?
46,0,Unknown,Unknown,Unknown,0,0.0,0.0,1.0,Do all students studies regularly?
46,1,Unknown,Unknown,Unknown,0,1.0,1.0,0.8,Do all students problems?
47,0,A,A,Unknown,0,0.0,0.0,0.8,"Based on the premises, which statement is correct?
A. Every teacher prepares the curriculum.
B. It cannot be determined whether every teacher prepares the curriculum.
C. No teacher prepares the curriculum.
D. Every teacher who grades the assignments must prepares."
47,1,No,No,Unknown,0,1.0,1.0,0.6,"According to the premises, is the following statement true? If a teacher grades the assignments, then the teacher prepares the curriculum."
48,0,A,A,A,1,1.0,1.0,1.0,"Based on the premises, which statement can be inferred?
A. Every candidate receives an offer.
B. No candidate receives an offer.
C. Only some candidates receives an offer.
D. The premises do not support any conclusion about receivesing."
48,1,Yes,Yes,Yes,1,1.0,1.0,1.0,"According to the premises, is the following statement true? Every candidate clears the interview."
49,0,B,B,Unknown,0,1.0,1.0,1.0,"Based on the premises, which statement is correct?
A. Every student joins the study group.
B. It cannot be determined whether every student joins the study group.
C. No student joins the study group.
D. Every student who completes the group project must joins."
49,1,No,No,Unknown,0,1.0,1.0,0.6,"According to the premises, is the following statement true? If a student completes the group project, then the student joins the study group."
50,0,A,A,Unknown,0,1.0,1.0,1.0,"Based on the premises, which statement is correct?
A. No student takes a practice test.
B. Every student takes a practice test.
C. At least one student takes a practice test.
D. It cannot be determined whether any student takes a practice test."
50,1,Yes,Yes,Yes,1,1.0,1.0,0.6,"According to the premises, is the following statement true? No student takes a practice test."
51,0,Yes,Unknown,Yes,1,1.0,1.0,1.0,Do all candidates application?
51,1,Unknown,Unknown,Unknown,0,1.0,1.0,0.4,Do all candidates interview?
52,0,A,A,A,1,1.0,1.0,1.0,"Based on the premises, which statement can be inferred?
A. Every student meets the graduation requirement.
B. No student meets the graduation requirement.
C. Only some students meets the graduation requirement.
D. The premises do not support any conclusion about meetsing."
52,1,Yes,Yes,Yes,1,1.0,1.0,1.0,"According to the premises, is the following statement true? Every student passes the lab component."
53,0,C,C,C,1,1.0,0.2,0.8,"Based on the premises, which statement can be inferred?
A. Every developer writes the code.
B. At least one developer runs the unit tests.
C. No developer writes the code.
D. Some developers passes the code review."
53,1,No,Yes,No,1,1.0,1.0,0.6,"According to the premises, is the following statement true? At least one developer runs the unit tests."
54,0,A,A,A,1,1.0,1.0,1.0,"Based on the premises, which conclusion follows?
A. At least one candidate clears the interview.
B. Every candidate clears the interview.
C. No candidate clears the interview.
D. At least one candidate submits the application, but nothing about clears the interview."
54,1,Yes,Yes,Yes,1,1.0,1.0,1.0,"According to the premises, is the following statement true? Every candidate starts the position."
55,0,B,B,Unknown,0,0.0,0.0,1.0,"Based on the premises, which statement is correct?
A. Every developer writes the code.
B. It cannot be determined whether every developer writes the code.
C. No developer writes the code.
D. Every developer who passes the code review must writes."
55,1,Yes,Yes,Unknown,0,1.0,1.0,0.6,"According to the premises, is the following statement true? If a developer passes the code review, then the developer writes the code."
56,0,Yes,Yes,Yes,1,1.0,1.0,0.8,Do all mentors provides feedback?
56,1,No,Yes,No,1,1.0,1.0,0.8,Does at least one mentor sets development goals?
57,0,D,D,Unknown,0,1.0,1.0,1.0,"Based on the premises, which statement is correct?
A. No intern completes the assigned task.
B. Every intern completes the assigned task.
C. At least one intern completes the assigned task.
D. It cannot be determined whether any intern completes the assigned task."
57,1,Yes,Yes,Unknown,0,1.0,1.0,0.8,"According to the premises, is the following statement true? No intern completes the assigned task."
58,0,D,D,Unknown,0,0.0,0.0,0.6,"Based on the premises, which statement is correct?
A. No researcher receives a grant.
B. Every researcher receives a grant.
C. At least one researcher receives a grant.
D. It cannot be determined whether any researcher receives a grant."
58,1,Yes,Yes,Unknown,0,1.0,1.0,0.6,"According to the premises, is the following statement true? No researcher receives a grant."
59,0,B,B,Unknown,0,1.0,1.0,0.6,"Based on the premises, which statement is correct?
A. No student attends all lectures.
B. Every student attends all lectures.
C. At least one student attends all lectures.
D. It cannot be determined whether any student attends all lectures."
59,1,Yes,Yes,Unknown,0,1.0,1.0,1.0,"According to the premises, is the following statement true? No student attends all lectures."
60,0,A,A,Unknown,0,1.0,1.0,1.0,"Based on the premises, which statement is correct?
A. No employee passes the compliance quiz.
B. Every employee passes the compliance quiz.
C. At least one employee passes the compliance quiz.
D. It cannot be determined whether any employee passes the compliance quiz."
60,1,Yes,Yes,Unknown,0,1.0,1.0,0.6,"According to the premises, is the following statement true? No employee passes the compliance quiz."
61,0,Yes,Yes,Yes,1,1.0,1.0,1.0,Do all students earns course credit?
61,1,Unknown,Unknown,Unknown,0,1.0,1.0,0.8,Do all students university?
62,0,D,D,Unknown,0,1.0,1.0,1.0,"Based on the premises, which statement is correct?
A. No librarian updates the database.
B. Every librarian updates the database.
C. At least one librarian updates the database.
D. It cannot be determined whether any librarian updates the database."
62,1,Yes,Yes,Unknown,0,1.0,1.0,0.8,"According to the premises, is the following statement true? No librarian updates the database."
63,0,C,C,Unknown,0,0.0,0.0,0.6,"Based on the premises, which statement can be inferred?
A. Every researcher reads the literature.
B. At least one researcher identifies a research gap.
C. No researcher reads the literature.
D. Some researchers designs a study."
63,1,No,Unknown,No,1,1.0,1.0,0.6,"According to the premises, is the following statement true? At least one researcher identifies a research gap."
64,0,Yes,Yes,Yes,1,1.0,1.0,0.6,Do all students earns course credit?
64,1,No,Unknown,No,1,1.0,1.0,0.6,Does at least one student degree?
65,0,Yes,Yes,Yes,1,1.0,1.0,0.4,Do all developers code review?
65,1,No,No,No,1,1.0,1.0,0.6,Does at least one developer branch?
66,0,Unknown,Unknown,Unknown,0,0.0,0.0,0.8,Do all librarians catalogs new books?
66,1,Unknown,Unknown,Unknown,0,0.0,0.0,0.8,Do all librarians notifies patrons?
67,0,C,C,Unknown,0,0.0,0.0,0.8,"Based on the premises, which statement can be inferred?
A. Every mentor schedules a session.
B. At least one mentor reviews the mentee's work.
C. No mentor schedules a session.
D. Some mentors provides feedback."
67,1,No,No,No,1,1.0,1.0,0.6,"According to the premises, is the following statement true? At least one mentor reviews the mentee's work."
68,0,A,A,A,1,1.0,1.0,1.0,"Based on the premises, which conclusion follows?
A. At least one student passes the lab component.
B. Every student passes the lab component.
C. No student passes the lab component.
D. At least one student completes the lab work, but nothing about passes the lab component."
68,1,Yes,Yes,Yes,1,1.0,1.0,0.8,"According to the premises, is the following statement true? Every student obtains the diploma."
69,0,B,B,Unknown,0,1.0,1.0,1.0,"Based on the premises, which statement is correct?
A. Every student joins the study group.
B. It cannot be determined whether every student joins the study group.
C. No student joins the study group.
D. Every student who completes the group project must joins."
69,1,Yes,Yes,Unknown,0,1.0,1.0,0.6,"According to the premises, is the following statement true? If a student completes the group project, then the student joins the study group."
70,0,Yes,Yes,Yes,1,1.0,1.0,1.0,Do all teachers assignments?
70,1,Unknown,Unknown,Unknown,0,0.0,0.0,0.6,Do all teachers academic term?
71,0,Yes,Yes,Yes,1,1.0,1.0,1.0,Do all researchers designs a study?
71,1,No,No,No,1,1.0,1.0,0.8,Does at least one researcher collects data?
72,0,B,B,Unknown,0,0.0,0.0,1.0,"Based on the premises, which statement is correct?
A. Every librarian catalogs new books.
B. It cannot be determined whether every librarian catalogs new books.
C. No librarian catalogs new books.
D. Every librarian who notifies patrons must catalogs."
72,1,No,No,Unknown,0,1.0,1.0,1.0,"According to the premises, is the following statement true? If a librarian notifies patrons, then the librarian catalogs new books."
73,0,Yes,Yes,Yes,1,1.0,1.0,1.0,Do all analysts builds a model?
73,1,Unknown,Unknown,Unknown,0,0.0,0.0,0.8,Do all analysts report?
74,0,B,B,Unknown,0,0.0,0.0,0.8,"Based on the premises, which statement is correct?
A. Every librarian catalogs new books.
B. It cannot be determined whether every librarian catalogs new books.
C. No librarian catalogs new books.
D. Every librarian who notifies patrons must catalogs."
74,1,No,No,Unknown,0,1.0,1.0,0.6,"According to the premises, is the following statement true? If a librarian notifies patrons, then the librarian catalogs new books."
75,0,B,B,B,1,1.0,1.0,0.6,"Based on the premises, which statement can be inferred?
A. At least one teacher prepares the curriculum.
B. No teacher prepares the curriculum.
C. Every teacher grades the assignments.
D. At least one teacher grades the assignments."
75,1,No,No,Unknown,0,0.0,0.0,0.6,"According to the premises, is the following statement true? Every teacher submits the grade report."
76,0,No,No,No,1,0.8,1.0,0.8,Does at least one student study group?
76,1,Yes,Yes,Yes,1,1.0,1.0,0.8,Do all students teamwork requirement?
77,0,Yes,Yes,Yes,1,1.0,1.0,1.0,Do all students submits all assignments?
77,1,No,Yes,No,1,1.0,1.0,0.6,Does at least one student achieves a high GPA?
78,0,Yes,Yes,Yes,1,1.0,1.0,1.0,Do all students lab component?
78,1,Unknown,Unknown,Unknown,0,0.0,0.0,1.0,Do all students diploma?
79,0,Yes,Yes,Yes,1,1.0,0.8,1.0,Do all researchers designs a study?
79,1,No,Yes,No,1,1.0,1.0,0.6,Does at least one researcher collects data?
80,0,Yes,Yes,Yes,1,1.0,1.0,0.8,Do all volunteers assists with activities?
80,1,No,No,Unknown,0,1.0,1.0,0.6,Do all volunteers receives a community award?
81,0,C,C,Unknown,0,0.0,0.0,1.0,"Based on the premises, which statement can be inferred?
A. Every researcher writes a research proposal.
B. At least one researcher receives a grant.
C. No researcher writes a research proposal.
D. Some researchers conducts experiments."
81,1,No,No,No,1,1.0,1.0,1.0,"According to the premises, is the following statement true? At least one researcher receives a grant."
82,0,D,D,Unknown,0,1.0,1.0,0.6,"Based on the premises, which statement is correct?
A. No participant completes the orientation.
B. Every participant completes the orientation.
C. At least one participant completes the orientation.
D. It cannot be determined whether any participant completes the orientation."
82,1,Yes,Yes,Unknown,0,1.0,1.0,0.4,"According to the premises, is the following statement true? No participant completes the orientation."
83,0,C,C,C,1,1.0,1.0,1.0,"Based on the premises, which statement can be inferred?
A. Every student joins the study group.
B. At least one student participates in discussion.
C. No student joins the study group.
D. Some students completes the group project."
83,1,No,Yes,No,1,1.0,1.0,0.6,"According to the premises, is the following statement true? At least one student participates in discussion."
84,0,Yes,Yes,Yes,1,1.0,1.0,1.0,Do all interns receives mentor feedback?
84,1,Yes,Unknown,Yes,1,1.0,1.0,0.6,Do all interns gets a return offer?
85,0,B,B,Unknown,0,1.0,1.0,1.0,"Based on the premises, which statement is correct?
A. Every candidate submits the application.
B. It cannot be determined whether every candidate submits the application.
C. No candidate submits the application.
D. Every candidate who clears the interview must submits."
85,1,Yes,Yes,Unknown,0,1.0,1.0,0.6,"According to the premises, is the following statement true? If a candidate clears the interview, then the candidate submits the application."
86,0,A,A,A,1,1.0,1.0,1.0,"Based on the premises, which statement can be inferred?
A. Every student qualifies for the degree.
B. No student qualifies for the degree.
C. Only some students qualifies for the degree.
D. The premises do not support any conclusion about qualifiesing."
86,1,Yes,Yes,Yes,1,1.0,1.0,1.0,"According to the premises, is the following statement true? Every student earns course credit."
87,0,B,B,B,1,1.0,1.0,0.8,"Based on the premises, which statement can be inferred?
A. At least one intern joins the team.
B. No intern joins the team.
C. Every intern receives mentor feedback.
D. At least one intern receives mentor feedback."
87,1,Unknown,Unknown,Unknown,0,0.0,0.0,0.4,"According to the premises, is the following statement true? Every intern writes the internship report."
88,0,A,A,A,1,1.0,1.0,1.0,"Based on the premises, which conclusion follows?
A. At least one developer passes the code review.
B. Every developer passes the code review.
C. No developer passes the code review.
D. At least one developer writes the code, but nothing about passes the code review."
88,1,No,No,Unknown,0,0.0,0.0,0.6,"According to the premises, is the following statement true? Every developer deploys to production."
89,0,Yes,Unknown,Yes,1,1.0,1.0,1.0,Do all students course?
89,1,Unknown,Unknown,Unknown,0,0.0,0.0,1.0,Do all students submits all assignments?
90,0,Yes,Yes,Yes,1,1.0,1.0,1.0,Do all students problems?
90,1,Yes,Unknown,Yes,1,1.0,0.8,0.6,Do all students receives honors?
91,0,Yes,Yes,Yes,1,1.0,1.0,0.8,Do all students problems?
91,1,Yes,Yes,Yes,1,0.5,0.8,0.6,Does at least one student exam?
92,0,A,A,A,1,1.0,0.8,0.8,"Based on the premises, which statement can be inferred?
A. Every developer merges the branch.
B. No developer merges the branch.
C. Only some developers merges the branch.
D. The premises do not support any conclusion about mergesing."
92,1,Yes,Yes,Yes,1,1.0,1.0,0.8,"According to the premises, is the following statement true? Every developer passes the code review."
93,0,C,C,C,1,1.0,0.2,1.0,"Based on the premises, which statement can be inferred?
A. Every researcher reads the literature.
B. At least one researcher identifies a research gap.
C. No researcher reads the literature.
D. Some researchers designs a study."
93,1,No,Yes,No,1,1.0,1.0,0.6,"According to the premises, is the following statement true? At least one researcher identifies a research gap."
94,0,Yes,Yes,Yes,1,1.0,1.0,1.0,Do all trainees submits a portfolio?
94,1,Unknown,Unknown,Unknown,0,0.0,0.0,0.8,Do all trainees professional body?
95,0,B,B,B,1,1.0,1.0,0.6,"Based on the premises, which statement can be inferred?
A. At least one employee completes the onboarding program.
B. No employee completes the onboarding program.
C. Every employee receives full benefits.
D. At least one employee receives full benefits."
95,1,No,No,Unknown,0,0.0,0.0,0.6,"According to the premises, is the following statement true? Every employee is eligible for promotion."
96,0,Yes,Yes,Yes,1,1.0,1.0,0.6,Do all teachers assignments?
96,1,Yes,Yes,Unknown,0,0.0,0.0,0.6,Do all teachers academic term?
97,0,B,B,B,1,1.0,1.0,0.8,"Based on the premises, which statement can be inferred?
A. At least one student completes the coursework.
B. No student completes the coursework.
C. Every student earns course credit.
D. At least one student earns course credit."
97,1,Unknown,Unknown,Unknown,0,0.0,0.0,0.6,"According to the premises, is the following statement true? Every student qualifies for the degree."
98,0,Yes,Yes,Yes,1,1.0,1.0,1.0,Do all students group project?
98,1,Yes,Yes,Unknown,0,0.0,0.0,0.8,Do all students teamwork requirement?
99,0,Yes,Yes,Yes,1,1.0,1.0,1.0,Do all participants finishes all modules?
99,1,No,No,No,1,1.0,1.0,1.0,Does at least one participant certification exam?
100,0,Yes,Yes,Yes,1,1.0,1.0,1.0,Do all analysts builds a model?
100,1,No,No,No,1,0.6,1.0,0.8,Does at least one analyst results?
101,0,Unknown,Unknown,Unknown,0,1.0,0.6,1.0,Do all interns team?
101,1,Unknown,Unknown,Unknown,0,0.0,0.0,1.0,Do all interns receives mentor feedback?
102,0,Unknown,Unknown,Unknown,0,0.0,0.0,1.0,Do all researchers writes a research proposal?
102,1,Unknown,Unknown,Unknown,0,0.0,0.0,0.6,Do all researchers conducts experiments?
103,0,Yes,Yes,Yes,1,1.0,1.0,1.0,Do all volunteers assists with activities?
103,1,No,No,No,1,0.8,1.0,0.8,Does at least one volunteer logs service hours?
104,0,C,C,Unknown,0,0.0,0.0,0.6,"Based on the premises, which statement can be inferred?
A. Every analyst gathers the requirements.
B. At least one analyst documents the findings.
C. No analyst gathers the requirements.
D. Some analysts builds a model."
104,1,No,No,No,1,1.0,1.0,0.4,"According to the premises, is the following statement true? At least one analyst documents the findings."
105,0,B,B,B,1,1.0,1.0,0.6,"Based on the premises, which statement can be inferred?
A. At least one employee attends compliance training.
B. No employee attends compliance training.
C. Every employee receives security clearance.
D. At least one employee receives security clearance."
105,1,No,No,Unknown,0,0.0,0.0,0.6,"According to the premises, is the following statement true? Every employee accesses sensitive data."
106,0,A,A,A,1,1.0,1.0,1.0,"Based on the premises, which conclusion follows?
A. At least one student completes the group project.
B. Every student completes the group project.
C. No student completes the group project.
D. At least one student joins the study group, but nothing about completes the group project."
106,1,Yes,Yes,Yes,1,1.0,1.0,0.6,"According to the premises, is the following statement true? Every student fulfils the teamwork requirement."
107,0,B,B,Unknown,0,1.0,1.0,1.0,"Based on the premises, which statement is correct?
A. Every student registers for the exam.
B. It cannot be determined whether every student registers for the exam.
C. No student registers for the exam.
D. Every student who reviews mistakes must registers."
107,1,Yes,Yes,Unknown,0,1.0,1.0,0.6,"According to the premises, is the following statement true? If a student reviews mistakes, then the student registers for the exam."
108,0,Yes,Yes,Yes,1,1.0,1.0,1.0,Do all mentors provides feedback?
108,1,No,No,No,1,1.0,1.0,0.8,Does at least one mentor sets development goals?
109,0,A,A,A,1,1.0,1.0,1.0,"Based on the premises, which statement can be inferred?
A. Every trainee earns a certificate.
B. No trainee earns a certificate.
C. Only some trainees earns a certificate.
D. The premises do not support any conclusion about earnsing."
109,1,Yes,Yes,Yes,1,1.0,1.0,1.0,"According to the premises, is the following statement true? Every trainee submits a portfolio."
